date,open,close,price_change,p_change_rate,low,high,volume,amount,turnover,index_open,index_close,index_price_change,index_p_change_rate,index_low,index_high,index_volume,index_amount
20150728,12.75,13.93,0.08,0.58,12.51,14.2,4206346.0,565280.88,8.38,11986.25,12316.78,176.27,1.41,11719.0,12676.27,374311040.0,61884172.0
20150727,14.85,13.85,1.54,10.01,13.85,15.46,4843643.0,714783.31,9.65,13242.69,12493.05,1025.46,7.59,12488.37,13579.64,364439008.0,66769468.0
20150724,16.3,15.39,0.82,5.06,15.2,16.53,5206001.0,835153.94,10.38,13789.31,13518.52,236.01,1.72,13424.18,13970.84,400855936.0,74418312.0
20150723,15.93,16.21,0.31,1.95,15.6,16.41,4425592.0,711776.38,8.82,13432.61,13754.53,337.99,2.52,13356.05,13792.37,367043488.0,65451420.0
20150722,15.7,15.9,0.0,0.0,15.35,16.17,4245204.0,671599.44,8.46,13307.93,13416.54,100.98,0.76,13098.8,13482.04,334908928.0,60512044.0
20150721,15.55,15.9,0.36,2.32,15.0,16.21,4253220.0,665284.19,8.48,13038.15,13315.56,113.16,0.86,12928.13,13436.91,312415712.0,56059192.0
20150720,14.92,15.54,0.96,6.58,14.51,15.68,4623830.0,700460.44,9.21,13115.48,13202.4,197.44,1.52,12942.95,13427.86,358165184.0,63175248.0
20150717,13.75,14.58,0.92,6.73,13.68,14.8,3045156.0,436009.69,6.07,12460.51,13004.96,647.35,5.24,12435.59,13097.45,307007616.0,50793256.0
20150716,13.35,13.66,0.31,2.32,12.3,14.05,2871494.0,385933.81,5.72,11963.35,12357.61,225.19,1.86,11637.47,12600.65,324294176.0,50819352.0
20150715,14.45,13.35,1.48,9.98,13.35,14.78,3621172.0,499922.69,7.22,12783.08,12132.42,596.09,4.68,12093.9,12792.31,345295424.0,54553364.0
20150714,14.69,14.83,0.63,4.44,14.21,15.54,5618430.0,840003.5,11.2,12796.49,12728.51,114.36,0.91,12635.2,13091.93,285635168.0,49195780.0
20150713,14.0,14.2,1.29,9.99,13.7,14.2,3474910.0,489533.69,6.93,12367.62,12614.16,576.02,4.78,12261.25,12658.07,233849120.0,39178260.0
20150710,12.91,12.91,1.17,9.97,12.35,12.91,1921191.0,247128.55,3.83,11733.45,12038.15,527.81,4.59,11696.77,12062.9,158915232.0,24732912.0
20150707,12.4,11.74,1.3,9.97,11.74,12.93,4633070.0,550257.62,9.38,11660.56,11375.6,700.17,5.8,11282.62,11767.66,227324032.0,30144144.0
20150706,13.96,13.04,0.35,2.76,11.82,13.96,4092542.0,536813.69,8.28,13140.14,12075.77,170.29,1.39,11584.47,13140.14,396337984.0,60908364.0
20150703,13.51,12.69,1.32,9.42,12.61,14.45,3246049.0,425213.62,6.57,12475.61,12246.06,678.13,5.25,11953.08,13154.13,315536192.0,50509652.0
20150702,15.31,14.01,1.15,7.59,13.7,15.5,3310854.0,489981.81,6.7,13655.73,12924.19,726.63,5.32,12727.23,13732.49,320735104.0,55226664.0
20150701,15.03,15.16,0.14,0.92,14.7,16.54,4653706.0,730477.06,9.42,14185.1,13650.82,687.14,4.79,13578.38,14696.98,348742080.0,69116264.0
20150630,13.93,15.3,0.85,5.88,13.01,15.49,4618106.0,650892.31,9.35,13274.64,14337.97,771.7,5.69,12723.16,14352.05,399540096.0,72137904.0
20150629,16.45,14.45,1.61,10.02,14.45,16.47,3513334.0,523698.78,7.11,14703.97,13566.27,832.52,5.78,13250.35,14712.16,358946944.0,63119332.0
20150626,17.22,16.06,1.78,9.98,16.06,17.55,2354271.0,388830.94,4.77,15196.56,14398.79,1293.65,8.24,14321.05,15229.0,294665856.0,55513796.0
20150625,19.15,17.84,1.15,6.06,17.71,19.26,2688944.0,500698.78,5.44,16370.0,15692.44,619.87,3.8,15499.22,16399.34,331715680.0,68455712.0
20150624,18.76,18.99,0.35,1.88,18.35,19.2,2953258.0,554998.62,5.98,16178.55,16312.31,266.32,1.66,15867.91,16345.75,332173440.0,67521544.0
20150623,18.06,18.64,0.58,3.21,16.8,18.64,2795017.0,508673.34,5.66,15720.32,16045.99,320.52,2.04,14938.82,16047.32,292927744.0,60470120.0
